raw_citation;normalized_citation
§ 622 Abs. 5 BGB;§ 622 Absatz 5 Bürgerliches Gesetzbuch (BGB)
§ 622 Abs. 1BGB;§ 622 Absatz 1 Bürgerliches Gesetzbuch (BGB)
Paragraph 5 Abs. 1 BUrlG;§ 5 Absatz 1 Bundesurlaubsgesetz (BUrlG)
vgl. BAG AP Nr. 4 zu § 1 BeschFG 1996, Anuß/Thüsing, TzBfG, § 14 Rdz. 64;vgl. Bundesarbeitsgericht (BAG), AP Nummer 4 zu § 1 Beschäftigungsförderungsgesetz 1996, Anuß/Thüsing, Teilzeit- und Befristungsgesetz (TzBfG), § 14 Randnummer 64
APS-Backhaus, § 14 TzBfG Rdz. 73 jeweils m.w.H. auf die Literatur;Backhaus in Ascheid/Preis/Schmidt, § 14 Teilzeit- und Befristungsgesetz (TzBfG), Randnummer 73, jeweils mit weiteren Hinweisen auf die Literatur
Az.: 10h Ca 10381/03;Aktenzeichen: 10h Ca 10381/03
vgl. BAG Urt. v. 24.01.2001 - Az.: 7 AZR 567/99 = FA 2001 S. 242;vergleiche Bundesarbeitsgericht (BAG), Urteil vom 24. Januar 2001, Aktenzeichen 7 AZR 567/99 = Fachanwalt Arbeitsrecht 2001, Seite 242
vgl. BAG NJW 1971 S. 689;vgl. Bundesarbeitsgericht (BAG), Neue Juristische Wochenschrift (NJW) 1971, Seite 689
APS/Steffan, 2. Aufl., § 613 a BGB, Rdziff. 128;Steffan in Ascheid/Preis/Schmidt, 2. Auflage, § 613a Bürgerliches Gesetzbuch (BGB), Randnummer 128
APS-Bibl, 2. Aufl., § 9 KSchG, Rdziff. 25;Bibl in Ascheid/Preis/Schmidt, 2. Auflage, § 9 Kündigungsschutzgesetz (KSchG), Randnummer 25
KR-Spilger, 7. Aufl., § 9 KSchG, Rdziff. 20;Spilger, 7. Auflage, Gemeinschaftskommentar zum Kündigungsschutzgesetz, § 9 Kündigungsschutzgesetz (KSchG), Randnummer 20
BAG AP Nr. 68 zu § 626 BGB;Bundesarbeitsgericht (BAG), Arbeitsrechtliche Praxis Nummer 68 zu § 626 Bürgerliches Gesetzbuch (BGB)
Baumbach/Lauterbach/Hartmann, 63. Aufl., § 136 ZPO, Rdziff. 28;Baumbach/Lauterbach/Hartmann, 63. Auflage, § 136 Zivilprozessordnung (ZPO), Randnummer 28
